SEC_NAME,label,inset,labelLat,labelLong,island
Hawaii-Hamakua,4,NA,20.220443,-155.371767,Hawaii
Hawaii-Puna,3,NA,19.621368,-154.701601,Hawaii
Hawaii-Kona,1,NA,19.704133,-156.167714,Hawaii
Kauai-East,10,NA,22.300292,-159.799177,Kauai
Kauai-Na Pali,11,NA,22.02015,-159.153943,Kauai
Lanai-North,NA,20,20.995853,-157.125356,Lanai
Lanai-South,NA,19,20.642764,-156.945479,Lanai
Maui-Hana,NA,24,20.768373,-155.865298,Maui
Maui-Kahului,NA,26,21.049402,-156.31419,Maui
Maui-Kihei,NA,22,20.678602,-156.588676,Maui
Maui-Lahaina,NA,21,20.914414,-156.594471,Maui
Maui-Northeast,NA,25,20.958643,-156.088278,Maui
Maui-Northwest,NA,27,21.086355,-156.458772,Maui
Maui-Southeast,NA,23,20.512211,-156.166436,Maui
Molokai-Northwest,NA,18,21.304472,-157.137739,Molokai
Molokai-Pali,NA,17,21.289201,-156.827376,Molokai
Molokai-South,NA,16,21.183974,-156.600128,Molokai
Molokai-West,NA,15,21.101858,-157.425665,Molokai
Niihau-East,12,,21.903673,-160.420466,Niihau
Niihau-Lehua,14,,22.168187,-160.139753,Niihau
Niihau-West,13,,21.781206,-159.963972,Niihau
Oahu-East,7,,21.385432,-157.552473,Oahu
Oahu-Kaena,5,,21.588286,-158.402927,Oahu
Oahu-Northeast,8,,21.698546,-157.783186,Oahu
Oahu-Northwest,9,,21.775502,-158.129255,Oahu
Oahu-South,6,,21.156939,-158.079897,Oahu
Hawaii-Southeast,2,,19.118693,-155.223451,Oahu