SC,MinimalImpactUpper,minImpact_75%,Mid,minImpact_25%,MinimalImpactLower,PresentDayUpper,75%,PresentDay,25%,PresentDayLower,axis.order
Hawaii-Hamakua,47.84692793,43.95096029,36.04430803,29.39073553,26.90393701,32.49371434,31.1415044,28.04017849,25.25959468,24.20867076,24
Hawaii-Kona,32.18092683,29.75235299,24.47655529,19.70639118,17.78834642,22.63870714,21.95992646,20.35579543,18.894331,18.3252708,14
Hawaii-Puna,40.21356202,35.90846317,27.77943312,21.62898971,19.39981954,22.57739836,21.4005739,18.73906224,16.39538363,15.51414254,15
Hawaii-Southeast,40.04907796,36.33078325,28.61403,22.38963522,20.10104791,31.03370677,28.74075418,23.8779538,19.72503008,18.24964952,16
Kauai-East,17.20268736,15.0990024,11.27195768,8.270154542,7.18657813,8.649013268,8.28103648,7.431479476,6.656886604,6.365503581,1
Kauai-Na Pali,43.1941677,38.50829798,29.78250927,23.31782162,21.00470677,29.24815582,26.95548495,22.17750568,18.25484433,16.76980505,18
Lanai-North,26.25072965,23.49996434,18.18694349,14.14237575,12.72813978,15.77679646,14.75370779,12.58456063,10.71257053,10.00891196,10
Lanai-South,28.8934171,26.60568935,22.08673915,18.4440303,17.14050256,18.20168547,17.53347195,16.02809762,14.631172,14.08616805,12
Maui-Kahului,48.56265432,42.64844729,31.64966084,23.67559091,20.96692176,23.60590137,22.06864731,18.68155626,15.81167237,14.76678044,21
Maui-Kihei,33.03173646,29.31519405,22.23512549,16.98414455,15.19875928,14.95086146,14.30541894,12.79673692,11.45160818,10.94466758,13
Maui-Lahaina,17.46547695,15.43809468,11.56776508,8.772676214,7.828227766,8.169606161,7.717325829,6.708258904,5.815312782,5.477426527,2
Maui-Northeast,43.44325609,39.27549938,31.24904708,24.99235353,22.75760047,25.16041061,23.87066491,21.01575714,18.47195408,17.5083289,20
Maui-Northwest,59.13448308,50.77912696,35.67687735,25.33584678,21.90837055,31.88996655,28.4755336,21.91505604,16.74842702,15.06363723,23
Molokai-Northwest,42.14691751,37.99063063,30.14978876,24.16220454,22.00700848,27.14085506,25.40278266,21.67846292,18.51832822,17.2723675,19
Molokai-Pali,44.73843927,40.93064849,33.74156377,27.98332602,25.95597791,29.3907098,27.92312092,24.7315196,21.78976438,20.6961022,22
Molokai-South,27.94982495,25.74963945,21.42426677,17.88266128,16.57566571,17.65725331,17.03576923,15.62921959,14.31515048,13.80380801,11
Molokai-West,16.16898609,15.14453179,12.98535322,11.12384783,10.41763753,13.01919381,12.40175722,10.997271,9.727426114,9.244366835,4
Niihau-East,19.20818918,18.12713606,15.82557516,13.74732534,12.96863392,18.55239671,17.55189809,15.30870063,13.38610231,12.65996096,8
Niihau-Lehua,47.07907417,43.99342939,37.34195941,31.72662361,29.61633934,46.48176778,43.40463529,36.94407351,31.43289897,29.36309592,25
Niihau-West,34.71089164,33.09388801,29.46078673,26.20432961,24.96512104,33.33610398,31.79622571,28.35439632,25.3419776,24.1295632,17
Oahu-East,21.75154015,18.69256517,13.00064411,8.981516832,7.649585873,7.660192237,7.104957513,5.858178563,4.80815878,4.418326443,5
Oahu-Kaena,28.27207846,24.60244809,17.63687822,12.73568148,11.11237524,14.18964171,13.03047309,10.48222929,8.388890725,7.666900104,9
Oahu-Northeast,22.95791926,20.16713387,14.96802561,11.00844842,9.654948957,10.6271016,10.00896088,8.677064818,7.495392838,7.054758421,7
Oahu-Northwest,20.22441934,17.59168029,12.75243371,9.311633212,8.186576573,8.403915465,7.939106188,6.901417666,5.974304926,5.626043242,3
Oahu-South,21.39027777,18.83358655,13.89453788,10.1850875,8.955535673,9.389273238,9.020305034,8.190161263,7.411254227,7.114422298,6