SC,recovery_83%,recovery_75%,Mid,recovery_25%,recovery_17%
Hawaii-Hamakua,29.002097,23.23462809,11.49706852,1.267098731,-2.84067093
Hawaii-Kona,15.45299242,12.33944252,5.246290341,-1.112151984,-3.706036835
Hawaii-Puna,29.07719748,23.13156661,11.89874513,3.183093267,-0.059734832
Hawaii-Southeast,23.81052155,18.05866109,6.275851985,-4.035259464,-8.242703158
Kauai-East,13.91911613,10.93275516,5.390129927,1.09222171,-0.61487511
Kauai-Na Pali,26.64239052,20.88693273,9.681381449,0.589208392,-2.930601444
Lanai-North,22.11180932,17.42941847,8.564419,1.72770458,-0.828862973
Lanai-South,18.13669254,14.93027531,8.486177944,3.129653632,1.123547649
Maui-Kahului,40.59210808,32.55653612,17.06016623,5.792989879,1.583961618
Maui-Kihei,28.82659959,23.29596282,13.19576598,5.696848449,3.099270869
Maui-Lahaina,14.62015587,11.82954121,6.480613142,2.526804157,1.122609759
Maui-Northeast,30.00646142,24.41724708,13.62497392,4.921933916,1.685098658
Maui-Northwest,44.83278935,34.53386625,16.02238945,2.389551602,-2.753547719
Molokai-Northwest,33.02665202,25.74728973,12.57663897,1.924772528,-2.100917746
Molokai-Pali,27.34722162,22.04195363,12.12506966,3.851418941,0.740412866
Molokai-South,17.00057976,13.99338012,7.875959039,2.775526546,0.824371721
Molokai-West,6.958194645,5.589544423,2.608993158,-0.131921527,-1.214110168
Niihau-East,5.651163535,4.095622165,0.598058159,-2.833432681,-4.303344637
Niihau-Lehua,14.15628281,9.876638398,0.485685176,-9.00851174,-13.15227667
Niihau-West,10.68794301,7.837931521,1.44735244,-4.816457626,-7.498102409
Oahu-East,21.9155469,17.47757882,9.467736048,3.847557744,1.943482485
Oahu-Kaena,24.01328147,18.72262321,9.223085867,2.201957535,-0.326580965
Oahu-Northeast,19.2334625,15.43297719,8.351939433,2.951776236,1.03694434
Oahu-Northwest,18.01934694,14.32792289,7.762465306,3.088775412,1.561894337
Oahu-South,17.61627521,14.15160366,7.49340184,2.557066357,0.818413897